Model,Arial,Comic Sans,Courier,Times New Roman,Verdana
claude-3-5-sonnet-v2,0.7089,0.7078,0.6970,0.5946,0.7891
claude-3-7-sonnet,0.7103,0.6841,0.6997,0.5530,0.7917
claude-3-5-sonnet,0.7517,0.6927,0.6519,0.4870,0.7710
claude-3-opus,0.6329,0.7011,0.5573,0.4870,0.7227
claude-3-5-haiku,0.6274,0.6094,0.4714,0.3377,0.6979
claude-3-haiku,0.6345,0.6363,0.4479,0.3689,0.5900
claude-3-sonnet,0.4739,0.3113,0.2743,0.2899,0.4922
